EventId,UserObjectId,Action,ObjectId,EventTimeUtc,Result
37,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,OPEN_CARE_NOTES,care-notes,2026-08-11T02:30:19.491076+00:00,ALLOW
38,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,ACCESS /clinical,/clinical,2026-08-11T02:31:01.296384+00:00,DENY: role not permitted
39,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,OPEN_CLINICAL,clinical,2026-08-11T15:22:21.038417+00:00,ALLOW
40,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,ACCESS /review,/review,2026-08-11T15:22:49.958176+00:00,DENY: role not permitted
41,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,OPEN_CLINICAL,clinical,2026-08-11T15:56:28.512266+00:00,ALLOW
42,LOCAL-IAM-ADMIN,BLOCK_LOCAL_APP_USER,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,2026-08-11T16:18:33.690428+00:00,ALLOW
